Hebrew,Russian
מדבר,Разговаривать
ואתה,И вы
נהדר,великолепный
עליו,Это
סליחה,сожалею
אוהבת,Любить
אך,но
אומרת,Говорит
בואי,охотничий
לעולם,навсегда
ממני,от меня
רוצים,Хочу
הלילה,Ночь
והוא,и он
הבחור,чувак
לתת,Дать
האמת,правда
אחי,Брат
ולא,И
לשם,опал
עבור,для
תגיד,сказать
בית,жилой дом
אמרת,вы сказали
ואת,и ты
ד,четвертый
בי,меня
מעולם,Когда-либо
מכאן,следовательно
כסף,Денег
עבודה,За работой
זהו,Эта
מוכן,подготовлены
ילד,мальчик
נחמד,Ницца
לכל,все
בך,в тебе
עושים,Делать
מרגיש,чувствует себя
רציתי,я хотел
עליך,Ты должен
נמצא,имеется в наличии
אכפת,беспокойство
ש,Это
הולכים,Собирается
לצאת,выйти
כדאי,стоит
עובד,Наемный рабочий
בדרך,через
חכה,Удочка
אי,остров
לאן,где
עשה,Сделанный
איתו,С участием
מ,M
מהר,Быстрее
בזמן,В то время как
ק,K.
נוכל,Мы можем
לגבי,Около
נשמע,слышимый
עשית,Ты сделал
עשיתי,я сделал
בכלל,совсем
דקות,тонкость
חייבת,должен
שלכם,ваш
בשבילך,Для тебя
אמור,предполагаемый
מספר,Число
מכיר,Know
ללא,с не
מחר,завтра
לספר,сказать
גברת,Г-жа
לחזור,Вернуть
בעיה,проблема
רע,Плохой
בא,приходить
נלך,Идти
משנה,Мишна
ידעתי,я знал
מתי,Когда
חייבים,Должен
סוף,конец
החיים,жизнь
להרוג,убить
הן,Oни
ממך,от тебя
חלק,Часть
מאמין,верить
בחור,парень
בחייך,Давай
במקום,вместо того
גבר,мужчина
זוכר,Помнить
הולכת,Собирается
הגיע,пришел
הכול,Все
תעשה,Сделать
מקווה,Надежда
לב,сердце
בחיים,в живых
הבית,Главная
המקום,место
ידי,От
חיים,Хаим
כל,все
איש,мужчина
תוכל,будет иметь возможность
כנראה,Наверное
האנשים,люди
כאשר,когда
היינו,Мы были
לבד,Своя
כמעט,почти
עלי,пестик
מניח,предполагает
הכסף,деньги
נעשה,было сделано
לילה,ночь
ע,От
למעשה,по факту
דולר,доллар
שנה,спать
שמעתי,Я слышал
תראי,Смотреть
בטוחה,Безопасный
לגמרי,Полностью
החוצה,вне
ילדים,Дети
קטן,маленький
הדברים,вещи
חשוב,Это важно
בין,между
שמח,счастливый
הבא,следующий
הראשון,первый
לבוא,приходить
לחשוב,думать
הדרך,дорога
מאז,поскольку
בחזרה,Вернуться к
אמרה,поговорка
מאוחר,поздно
קודם,предыдущий
העבודה,работа
אחרת,Другой
מגיע,приходит
להגיע,прибывать
בה,в ее
מבינה,Понимаю
ברור,очевидно
עצמך,себя
בהחלט,определенно
לאחר,другому
כלומר,Это
השני,Секунда
יחד,все вместе
אוי,Горе
במשך,В течение
לפחות,по крайней мере
לשמוע,Слушать
אהיה,Будет
מוזר,mozar
ברגע,в данный момент
לעבוד,Работа
אליי,меня
וואו,Ух ты
אישה,жена
כעת,Сейчас же
אליך,Ты
העולם,мир
יופי,красота
שלוש,три
מהם,от них
הערב,этим вечером
אתמול,Вчера
הספר,книга
ואם,Или
הראשונה,Первый
אתן,ты
ספר,Книга
חדש,новый
מושג,полученный
בוקר,утро
שעות,часов
לבית,в дом
מזל,везение
להביא,приносить
בחוץ,вне
ון,жировик
למטה,вниз
בשבילי,Для меня
אלא,Скорее
חברים,друзья
היכן,где
למעלה,вверх
כ,около
כולנו,Мы все
מקרה,кейс
ראית,Ты видел
ביחד,все вместе
שהיה,Был
עלינו,Нас
להישאר,оставаться
ערב,вечер
כרגע,В настоящее время
בני,мой сын
בלילה,Ночью
תקשיב,Слушать
אלו,Эти
האחרון,последний
קשר,ссылка на сайт
באופן,В
ביום,в день
בקשר,соединение
אעשה,я буду
בת,девушка
איתה,С участием
ימים,дней
מקבל,получение
ומה,Что
בתוך,внутри
השם,название
האיש,мужчина
תפסיק,Стоп
לשאול,спросить
והיא,и она
הילד,парень
ועכשיו,Сейчас же
מדוע,Зачем
קח,принимать
יקרה,Уважаемые
סוג,Тип
ממנו,от него
עליה,Увеличение
העיר,город
העניין,причина
הפעם,Время
החבר,друг
הבעיה,Эта проблема
האחרונה,Последний
שיהיה,Будет
היחיד,Только
האלו,Эти
לפעמים,иногда
רעיון,идея
כפי,так как
חזרה,вернуть
למען,адрес
בעוד,в то время как
עומד,постоянный
שבו,сидеть
אלי,мне
בנאדם,мужчина
טובים,Хорошо
חרא,Дерьмо
אליו,к его
מיד,немедленно
משחק,Играть в
צודק,правильно
בפעם,Время
הלו,Здравствуйте?
להיכנס,входить
עצמי,себя
בעולם,Мир
תורגם,переведенный
קטנה,Маленький
תני,Дать
בלתי,не
איזו,Что
לאכול,есть
לעזוב,уехать
תראו,Смотреть
בפנים,в
לשמור,заповедник
יהיו,Будет
גדולה,величие
לעצור,остановиться
שלושה,три
קל,легко
הילדים,дети
להשיג,получить
הדלת,Дверь
הרגע,успокоиться
אימא,Мама
להבין,понимать
בחדר,Номер
חזק,сильный
נורא,какой ужас
הי,Здравствуй
רבה,большой
הסיבה,Причина
מחוץ,Вне
הבן,сын
יכולתי,Я мог бы
וגם,а также
לכן,так
מתכוונת,планы
אתכם,ты
היחידה,Только
אמיתי,Правда
סתם,всего лишь
מרגישה,чувство
האדם,Человек
שאתם,Ты
אומרים,Они говорят
חוץ,вне
למות,умри
רב,много
ראש,голова
נו,ноябрь
להתראות,Увидимся
אדירים,Христос
קרוב,близко
שתי,два
מתה,мертв
גרוע,плохой
לוקח,принимает
מכל,бак
נראית,Смотреть
פנים,лицо
להשתמש,использовать
קוראים,Вызов
חברה,общество
ממה,Что
הראש,голова
מדהים,Оглушающий
ילדה,девушка
המשפחה,Семья
והם,И
מצחיק,смешно
חושבים,Считать
קיבלתי,я получил
מצאתי,Найденный
נגד,против
לעבור,проходят
ליד,следующий на
שאין,Это
החברה,Компания
לקרוא,читать
לחיות,прямой эфир
מוכנה,готовы
חמש,5
עלייך,Ты
א,
חיי,жизнь
פחות,Меньше
באותו,В то же самое
מפה,отсюда
הבנתי,я понял
לנסות,пытаться
ביי,до свидания
ארוחת,Завтрак
אבי,Avi
נגמר,окончено
שהייתי,я
בשם,от имени
הבוקר,Завтрак
יוצא,исходящий
מדברים,говорящий
לשחק,играть
אחרים,другие
לפגוש,встреча
דם,кровь
פעמים,дважды
לנצח,Выиграть
תחת,под
חודשים,Месяцы
הבאה,Следующий
להתחיל,Начать
ואנחנו,И мы
הטוב,Добро
לגרום,причина
הא,ха
סיכוי,шанс
להמשיך,Продолжать
לישון,спать
שמעת,Ты слышал
אהבה,Любить
שמישהו,Кто то
זונה,шлюха
שעה,час
נהיה,тоскующий
מאשר,чем
הגדול,большой
אותן,их
חצי,половина
בקרוב,скоро
תגידי,сказать
סיבה,причина
ס,С.
מחדש,ре
לבדוק,Проверять
נשים,женщины
חכי,Подождите
כשאני,Когда я
מאמינה,верить
מגניב,здорово
בבוקר,утром
שכל,церебрально
מדברת,переговоры
לחכות,Подождите
מתחיל,начиная
פרק,глава
לכך,Эта
שאלה,вопрос
לקח,Урок
צוחק,Смеющийся
בנוגע,Около
לשים,класть
מכירה,продажа
נותן,дает
אלך,я пойду
חי,прямой эфир
מעט,Немного
המכונית,Машина
התכוונתי,я имел в виду
חדשות,Новости
צוות,Штат сотрудников
משפחה,семья
זקוק,Нужно
מתחת,Ниже
להציל,Выручать
גמור,законченный
הזדמנות,возможность
מטורף,псих
שונה,другой
כאלה,подобно
מעולה,Отлично
וכל,и все
ויש,И
בתור,как
לפי,согласно
ניסיתי,Я устал
סיפור,рассказ
בערך,Около
מים,воды
לתוך,в
תסתכל,Смотреть
דעתך,Твое мнение
זוכרת,Помнить
יין,вино
שאם,Что если
להרגיש,чувствовать
חוזר,круговой
עזרה,Помогите
רציני,серьезный
עונה,Время года
שלומך,Как дела
אפשרי,возможное
מחפש,Находясь в поиске
הסיפור,Сказка
חתיכת,Кусок
שכן,соседка
המפקד,командир
מעל,над
הלך,Ушел
מלא,полный
שאולי,Может быть
אנג,анг
בצורה,В
שומע,слышит
נכנס,Вошел
להפסיק,Стоп
החדש,новый
שווה,Ценность
עניין,Интерес
פנימה,внутри
כיף,весело
חדר,комната
חסר,короткая
ורג,Грузия
כמוך,Как ты
ראשון,Первый
אסור,запрещено
לקנות,купить
מאד,Очень
להתקשר,контакт
מייקל,Майкл
בהם,в них
בעבר,предварительно
ראה,Увидеть
להראות,шоу
מצב,ситуация
ברצינות,шутки в сторону
נתראה,до скорого
נפלא,Замечательный
מוקדם,рано
אינך,Ты не делай
שתיים,два
תדאג,Беспокойство
להגן,защищать
כלל,правило
מאיתנו,Нас
בחורה,девушка
בנות,девочки
עבר,Перевезу
במה,в чем
טעות,ошибка
משם,От
הטלפון,Телефон
רצה,Хотел
שקרה,Произошло
שזו,Это
להוציא,удалять
כה,так
עצמו,сам
המצב,Ситуация
למרות,Несмотря на то что
הקטן,Маленький
עצור,под арестом
מיליון,один миллион
אקח,принимать
מסוגל,в состоянии
להאמין,верить
במקרה,случайно
ידע,знания
שבוע,неделя
איתנו,Нас
נוסף,дополнительный
חדשה,новый
רצח,убийство
אמרו,Сказал
איני,я не буду
כוח,сила
גברתי,Госпожа
גורם,фактор
עליהם,на них
לעבודה,для работы
מוכנים,готовы
ידעת,Вы знали
מאחורי,За
ים,море
האישה,Женщина
הכבוד,Честь
מידע,Информация
שאלות,Вопросы
לכי,Идти
דין,закон
בצד,в сторону
נעים,приятный
כשאתה,когда вы
באתי,я пришел
מפני,потому что
מבטיח,перспективные
קשור,Связанный
כשהוא,Когда он
כדור,мяч
שאמרתי,я сказал
בחיי,Моя жизнь
שמחה,радость
קורא,читатель
נתן,Натан
מעבר,переход
תוכלי,Ты можешь
מס,налог
חולה,больной
שונא,Ненавидеть
לפה,Вот
המשטרה,полиция
במיוחד,особенно
ימי,морской
שאוכל,Я могу
קפטן,капитан
מעניין,интересно
יצא,вышел
לאנשים,люди
גברים,Мужчины
אשר,который
ניתן,Ты можешь
בכך,при этом
ככל,Как
בעיות,семенная коробочка
מושלם,идеально
על,На
בעלי,С участием
לשתות,напиться
אראה,Шоу
בעל,муж
הלא,не
אגיד,сказать
אוהבים,подобно
לקרות,Произойдет
שרה,Сара
מין,секс
להכיר,узнать
ארבע,четыре
אלף,Тысяча
להתמודד,чтобы справиться
מניחה,Оферты
למקום,Место
קפה,кофе
הבחורה,девушка
אינו,Не
מייק,Майк
יי,Yi
ישר,Прямо
לשבת,сесть
לעצמי,Себя
בראש,в уме
אידיוט,идиот
מחכה,Я ждал
תקשיבי,Слушать
נשאר,остальной
פיטר,Питер
הבת,Дочь
אלייך,тебе
שניכם,вы оба
עובדת,За работой
לשלם,платить
מן,от
תוך,в пределах
לטפל,ручка
לזוז,шаг
המשחק,Игра
באה,приход
עשר,десять
לדאוג,беспокойство
פרנק,франк
שצריך,Должным образом
אש,Огонь
ללמוד,Учить
תהיי,Быть
למי,кого
מאיפה,куда
לעצמך,Себя
ממנה,от нее
הלב,сердце
לג,Легг
מתוקה,возлюбленная
רוח,Ветер
למישהו,Кто то
חג,Праздничный день
הנשיא,Президент
ספק,сомнение
דוקטור,Врач
התחת,Жопа
בעיר,город
המון,Лоты
החולים,Пациенты
מוצא,выход
לחפש,искать
לחלוטין,полностью
שהיית,Ты
הלוואי,Желания
רד,красный
שמי,семитический
רחוק,далеко
התיק,сумка
ההוא,это
אנא,Пожалуйста
מילה,слово
חשבת,Мысль
הללו,эти
אמורה,Должен
מול,Напротив
אליה,ей
אצל,в
עשינו,Мы сделали
הפנים,интерьер
שוטר,полисмен
שנינו,И то и другое
להחזיר,вернуться
מערכת,редакционная коллегия
מצוות,Заповеди
להודות,благодарить
שבועות,Недели
מתוך,из
לתפוס,принести
לפגוע,Вред
מיוחד,Особый
רוב,большинство
לבחור,выбирать
ז,Седьмой
טיפש,Глупый
אלינו,нам
במצב,Состояние
אחזור,вернуться
תעשי,Делать
שמה,ее имя
מכן,потом
התינוק,ребенок
שנוכל,Мы можем
להפוך,сделать сальто
אח,брат
בחורים,Ребята
יורק,Йорк
נעלם,Исчез
רואים,Посмотреть
טום,Том
מצוין,отлично
לגלות,Обнаружить
לכולם,для каждого
לחדר,Номер
היד,Рука
שמו,Его имя
בעצמי,себя
יכולת,способность
תחזור,Вернуть
הנכון,Правильно
מתים,мертв
טובות,Хорошо
אביך,смутный
אצטרך,у меня будет
להסביר,объяснять
מישהי,Кто то
הארץ,Страна
שאמרת,Вы сказали
תביא,приносить
איתם,с ними
טלפון,Телефон
נצטרך,У нас будет
ייתכן,Ты можешь
שאנו,Мы
השנה,Год
ח,Восьмой
הדם,кровь
לשנות,Изменить
חבל,Очень жаль
אינני,я не буду
כבוד,уважать
המשפט,корт
המוות,Смерть
רבים,много
צא,выйди
באמצע,во время
יעשה,Будет
סלח,прощать
יימס,Джеймс
נמצאת,Является
לרגע,на мгновение
החלק,Часть
להשאיר,уехать
שניות,секунд
בנו,они построили
שנייה,второй
חכם,умный
הודעה,сообщение
פני,пенни
מידי,от
ליצור,создать
הגיוני,Имеет смысл
תירגע,остыть
זין,Дик
בעצמך,Себя
לברוח,побег
בעצם,Фактически
לבן,белый
האקדח,пистолет
אכן,действительно
השבוע,На этой неделе
יד,Рука
כולכם,Все
הנרי,Генри
מצפה,ожидать
הרג,убийство
אהבתי,мне понравилось
בסוף,в конце
כלב,Собака
מכם,радиолокационный
בשבוע,Неделя
תרצה,Хочу
כזאת,Такой
ההורים,Родители
עוזר,помощник
לעמוד,стоять
לאחרונה,недавно
דקה,минут
לאף,Любые
לאט,медленно
צעיר,молодой
ישנה,Там
עובדים,За работой
אופן,манера
צודקת,Правильно
גבוה,Высоко
הקטנה,Маленький
שקט,Тихий
הילדה,девушка
ן,имущество
גב,назад
הידיים,Руки
הקטע,Раздел
עדיף,предпочтительный
אוקי,ОК
ריצ,Ричмонд
ישן,старый
שעשית,Ты сделал
סאם,Сэм
להסתכל,смотреть
פי,раз
מבקש,просит
מסוכן,опасно
מתוק,сладкий
עשו,сделал
תמשיך,продолжать
דוד,Дядя
תוכנית,программа
נשק,Оружие
מתאים,подходящее
סקס,секс
דני,датский
תינוק,детка
סמים,наркотики
עשתה,Выполнено
שש,шесть
מיס,скучать
מצא,найти
משוגע,псих
חם,горячей
המדינה,Страна
ידיים,Руки
נמצאים,подарок
צורך,нужно
אקדח,пистолет
מחפשים,Ищу
בכלא,в тюрьме
אשתי,моя жена
מוות,Смерть
לסיים,заканчивать
אהה,Ага
עולה,Расходы
מעמד,статус
עלול,мощь
לפתוח,открыто
הוד,слава
רצית,Хотел
לארוחת,Для
מקס,Максимум
עבד,рабыня
כיצד,Как
קול,голос
הלכתי,Я гулял
לבקש,спросить
לחיים,для жизни
החברים,друзья
מצאת,вы нашли
שב,Очередной раз
מנסים,пытаясь
חמוד,милый
היטב,хорошо
שיחה,вызов
תנו,Пусть
בהצלחה,Успешно
האמיתי,верно
דיברתי,я говорил
אילו,который
ת,
קווין,Quinn
רופא,врач
הפה,рот
הרעיון,Идея
נדבר,Говорить
יוכל,Мог
מאחור,за
תחשוב,Считать
יעזור,поможет
שניים,два
הבאתי,я принес
בשעה,В
האחרים,другие
שתהיה,Будет
שעשיתי,я сделал
תצטרך,Тебе понадобится
חן,Грейс
לשלוח,отправлять
לצפות,Часы
לשעבר,бывший
אלכס,Alex
למשטרה,Полиция
מכונית,машина
התחיל,Начал
מדובר,говорят
ריי,луч
החדשה,новый
יו,Эй
אדון,сэр
לחץ,давление
אגב,между прочим
לירות,стрелять
לתקן,Правильный
חזר,вернулся
שראיתי,я видел
שלח,Разместить
עבורך,Ты
שמונה,восемь
נוספת,Другая
אמורים,Должен
משום,Потому что
באים,приход
פול,бобы
בוודאי,наверняка
להחזיק,держать
מנהל,директор
זוהי,Эта
בעבודה,На работе
תלוי,зависимый
בינינו,между нами
שטויות,Ерунда
בסביבה,Около
תפסיקי,Стоп
המלך,король
להילחם,Борьба
מצאנו,мы нашли
נשבע,Клянусь
גאה,гордый
תלך,Идти
מפחד,Боятся
המוח,мозг
גרם,грамм
עובר,Пропуска
לכו,Идти
קיבל,Получено
נתתי,я дал
כלבה,сука
מכיוון,Потому что
ואל,И
ארבעה,четыре
מסתכל,Смотреть
במשרד,офис
אחותי,моя сестра
שאף,Это
מסיבה,партия
השאלה,вопрос
כמוני,как мой
שעבר,прошлое
התוכנית,план
המים,вода
תדאגי,Беспокойство
העיניים,Глаза
הוגן,ярмарка
שתוכל,Ты можешь
זקוקים,Нужно
בקושי,едва
השאר,Уехать
ניק,Ник
עוזב,Уходит
תמונה,Образ
בשנה,Год
אתקשר,Вызов
סיפר,Об этом сообщил
השנים,лет
קיבלת,ты принят
וסונכרן,И синхронизирован
החדר,Комната
כשהייתי,Когда я был
בשקט,тихо
ועל,И
מצליח,успешный
שונאת,Ненавидеть
במהלך,в течение
מפחיד,Страшные
כואב,болезненный
גר,г
להעביר,передавать
עמוק,глубоко
שואל,просит
שכחתי,Я забыл
חדשים,новый
הבאים,следующее
ניסה,пытался
ודאי,безусловно
זקוקה,необходимый
שחור,черный
סימן,знак
הרגשתי,я почувствовал
חיה,животное
לאל,Лал
זוג,пара
הלאה,в дальнейшем
ארלי,Рано
ארוך,длинная
וג,Og
לוודא,для обеспечения
אישי,личный
חייך,Твоя жизнь
לנסוע,путешествовать
אשמח,я была бы счастлива
אחורה,назад
קחי,принимать
הגוף,Тело
רלי,Relly
הגדולה,большой
בערב,вечером
יגיע,Прибыть
שאומר,Означает
מעדיף,Предпочитает
צהריים,полдень
עורך,редактор
קר,холодный
כרטיס,карта
חכו,Подождите
נתחיל,Давайте начнем
שיכול,Мочь
לבצע,выполнять
בטלפון,на телефоне
מלאה,Полный
חופשי,свободный
ברירה,выбор
שמע,аудио
החוק,Закон
סרט,кино
תישאר,Оставаться
המולד,рождество
החרא,Дерьмо
סבתא,бабушка
באיזה,Что
לשום,Любые
אן,Энн
נהדרת,большой
הנשק,Оружие
עומדים,стоячий
טועה,неправильно
הרכב,сочинение
האל,Хэл
נקרא,Называется
עסקים,Бизнес
סי,си
שמך,Твое имя
יקירתי,дорогой
האבא,Отец
שים,Пожалуйста
בפני,к
ואין,И нет
יאללה,Давай
פגישה,"Деловое свидание, встреча"
עומדת,Подставки
מלחמה,война
סגן,Лейтенант
שהיו,Кто
הצילו,ПОМОГИТЕ
במכונית,Машина
מתחילים,Начать
הבוס,Босс
פעמיים,Дважды
הצוות,Команда
שג,Sg
שון,Шон
עבורי,меня
כאב,боль
הסרט,фильм
השנייה,секунда
לקחתי,я взял
אלן,Алан
יוצאת,Уходит
תמונות,Фотографий
הסוכן,агент
ועוד,И больше
הספינה,Корабль
עיניים,глаз
הייתם,Ты
שינוי,+ Изменить
שומר,охрана
כלי,орудие труда
שבע,Семь
הופך,делает
הבנות,девочки
מכירים,Know
האחרונים,Последний
להוכיח,доказывать
אנשי,люди
סביב,около
לסמוך,полагаться
הקשר,соединение
הסוף,Конец
לכתוב,написать
פעולה,действие
בוב,боб
ביל,Билл
עין,глаз
כשהיא,Когда она
זוז,ШАГ
הצהריים,Полдень
לכלא,тюремное заключение
לואיס,Льюис
שליטה,контроль
עשוי,сделанный
דניאל,Даниил
מחזיק,держатель
סיפרת,сказать
ברחוב,на улице
לבנות,строить
מקבלים,Получить
חולים,Пациенты
נזוז,Шаг
מציע,Предложения
רוצח,убийца
עשרה,десять
הדין,корт
המידע,Информация
רי,Джерри
וני,Джонни
להכין,Подготовить
בלבד,только
אתך,Ты
תוריד,Отгул
ישו,Иисус
לעלות,Подъем
לאבד,терять
למכור,продам
שבה,Который
בירה,пиво
התקשר,назывался
מוכר,Знакомые
שגם,Это
כתוב,Написать
הרוחות,ветры
תמצא,найти
בסופו,Конец
בוס,босс
אור,свет
השעה,час
החדשות,Новости
עסוק,Занятый
שייך,принадлежит
ראשונה,Первый
לענות,отвечать
סיימתי,Я закончил
המילה,Слово
כזו,Один
הג,джедай
נחמדה,Ницца
מרי,Мэри
האהבה,Любить
העובדה,"Дело в том, что"
שתוק,Shut
השולחן,Таблица
מעריך,оценки
עולם,Мир
שניהם,и то и другое
להניח,Позволять
לבלות,проводить
עלה,Вырос
המטרה,Цель
במהירות,быстро
השיחה,разговор
עזוב,заброшенный
הגב,Ответить
ולי,бестолочь
שמור,Сохранить
לרדת,вниз
אמש,прошлой ночью
סוכן,агент
הכוח,Мощность
עסק,Бизнес
נקי,сеть
המספר,Число
חברי,мой друг
להכניס,Вставить
אדי,Эдди
הארי,Гарри
קצר,короткая
טעם,вкус
יוצאים,Собирается
שכולם,Каждый
לס,Les
מלבד,Кроме
עסקה,сделка
במשחק,Игра
מובן,Конечно
מסכים,дать согласие
חושש,боятся
תתקשר,Вызов
לזמן,Время
דומה,Аналогичный
הגיעו,Достигнута
ריק,пустой
הגיעה,прибывший
מבט,смотрю
לבקר,посещение
נראים,Смотреть
התמונה,Картина
פתאום,Вдруг
שאר,остальные
הצלחתי,Я мог бы
באת,ванна
ין,иена
חמישה,5
הים,Море
סם,"препарат, средство, медикамент"
גדולים,большой
כוס,стекло
בעניין,Около
שינה,Изменено
הרגליים,Ноги
זקן,Старый
ייק,Джейк
להצטרף,присоединиться
טוני,Тони
צעד,шаг
אממ,Um
קלארק,Кларк
הרצח,убийство
ט,девятый
בדיחה,шутка
תנסה,проверять
להוריד,тянуть вниз
האחרונות,лет
מסביב,Около
כריס,Крис
אריק,Эрик
יכולות,способности
אביא,я буду
שאנשים,люди
qsubs,qsubs
קראתי,Читать
כועס,сердитый
להרוס,уничтожить
בשר,мясо
שאפשר,Может быть
להקשיב,Слушать
הגעתי,я получил
מראה,Внешность
כלשהו,Любые
האוכל,питание
אק,Эк
תעזוב,Уехать
מבינים,Понимаю
מתנה,Подарок
ייקח,принимать
לגור,прямой эфир
תיק,Мешок
שונים,Другой
משתמש,пользователь
לאמא,Мама
מאחר,Потому что
אמיתית,реальный
חוקי,правовой
מאות,Сотни
נוח,удобный
מצאו,Найденный
ברוך,благословлял
רגיל,регулярное
עזב,Уехать
מאושר,Счастливый
ההזדמנות,Возможность
שישה,Шесть
משחקים,Игры
ף,Джефф
המלחמה,Война
הפתעה,сюрприз
ניו,новый
איבדתי,я потерял
נמאס,надоело
תעזור,Помогите
השיער,Волосы
מגיעה,достигает
שזאת,Это было
הנקודה,смысл
באזור,"Область, край"
לאסוף,поднимать
קבל,получить
אחראי,ответственный за
מילים,подсчитывать
באותה,Такой же
המזל,везение
המפתח,Ключ
תסתכלי,Смотреть
סגור,закрыто
בטוחים,Уверенный
בתי,дома
מהיר,быстрый
למוות,Смерть
הטובה,Лучший
הכלב,Собака
אשתו,Его жена
תאמין,иметь веру
מבלי,без
קרב,боевой
רבות,Много
לכמה,Немного
אוו,Ух ты
הגעת,прибытие
וחצי,И половина
סבא,дедушка
בר,бар
מיני,половой
תקבל,Получит
יושב,заседание
הרופא,доктор
הרוצח,убийца
תשכח,забывать
גישה,доступ
בנים,мальчиков
רצינית,серьезный
שיער,Волосы
יחזור,вернусь
בילי,Билли
הרגל,привычка
סיפרתי,я говорил
בכדי,к
אספר,сказать
סטיב,Стив
הגענו,Мы приехали
נתת,Ты дал
מגוחך,смешной
שיר,Стихотворение
מביא,приносит
חשב,бухгалтер
טומי,Томми
רצתה,Хотел
אמת,правда
בובי,Бобби
להתחתן,жениться
כיוון,направление
לאבא,Отец
להציע,предложение
מהבית,из дома
חומר,материал
להחליף,замещать
שקורה,Случается
קטנים,Маленький
כוכב,звезда
משקה,напиток
ידוע,известный
הולדת,рождение
יחסים,связи
קו,линия
האוויר,Воздуха
קייט,Кейт
איימי,Эми
איננו,Мы не
הקורבן,Жертва
זכות,правильно
חייו,Его жизнь
הורג,Убийство
אוויר,Воздуха
מנת,часть
אחיך,Брат
תא,клетка
כתב,Написала
תזדיין,Блядь
בקלות,С легкостью
הכדור,шар
כולו,Все
פתח,открытие
חוזרת,Возвращает
